,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
231,15,45,l2,15,False,25,1,0.458033573141486
214,10,30,l1,10,False,25,1,0.458033573141486
211,10,30,l2,10,False,5,1,0.458033573141486
504,20,240,l1,80,True,1,2,0.458033573141486
482,15,180,l1,60,False,5,2,0.455635491606714
10,5,15,l1,5,True,5,1,0.455635491606714
472,10,120,l1,40,True,1,2,0.455635491606714
12,5,15,l1,5,True,15,1,0.453237410071942
522,5,240,l1,80,True,5,4,0.453237410071942
533,10,480,l2,160,False,15,4,0.453237410071942
496,20,240,l1,80,False,1,2,0.453237410071942
518,5,240,l1,80,False,25,4,0.453237410071942
508,20,240,l1,80,True,15,2,0.45083932853717
219,10,30,l2,10,True,5,1,0.45083932853717
510,20,240,l1,80,True,25,2,0.448441247002398
11,5,15,l2,5,True,5,1,0.448441247002398
8,5,15,l1,5,True,1,1,0.448441247002398
494,15,180,l1,60,True,25,2,0.448441247002398
9,5,15,l2,5,True,1,1,0.446043165467625
517,5,240,l2,80,False,15,4,0.446043165467625
547,15,720,l2,240,False,5,4,0.446043165467625
521,5,240,l2,80,True,1,4,0.446043165467625
524,5,240,l1,80,True,15,4,0.446043165467625
194,5,15,l1,5,False,5,1,0.446043165467625
215,10,30,l2,10,False,25,1,0.443645083932853
531,10,480,l2,160,False,5,4,0.443645083932853
541,10,480,l2,160,True,15,4,0.441247002398081
221,10,30,l2,10,True,15,1,0.438848920863309
543,10,480,l2,160,True,25,4,0.438848920863309
571,20,960,l2,320,True,5,4,0.438848920863309
470,10,120,l1,40,False,25,2,0.438848920863309
476,10,120,l1,40,True,15,2,0.436450839328537
515,5,240,l2,80,False,5,4,0.436450839328537
473,10,120,l2,40,True,1,2,0.436450839328537
474,10,120,l1,40,True,5,2,0.436450839328537
468,10,120,l1,40,False,15,2,0.434052757793765
491,15,180,l2,60,True,5,2,0.434052757793765
481,15,180,l2,60,False,1,2,0.431654676258992
467,10,120,l2,40,False,5,2,0.431654676258992
489,15,180,l2,60,True,1,2,0.431654676258992
15,5,15,l2,5,True,25,1,0.42925659472422
14,5,15,l1,5,True,25,1,0.42925659472422
507,20,240,l2,80,True,5,2,0.426858513189448
526,5,240,l1,80,True,25,4,0.426858513189448
205,5,15,l2,5,True,15,1,0.426858513189448
557,15,720,l2,240,True,15,4,0.426858513189448
193,5,15,l2,5,False,1,1,0.426858513189448
497,20,240,l2,80,False,1,2,0.424460431654676
464,10,120,l1,40,False,1,2,0.424460431654676
196,5,15,l1,5,False,15,1,0.424460431654676
3,5,15,l2,5,False,5,1,0.424460431654676
223,10,30,l2,10,True,25,1,0.424460431654676
483,15,180,l2,60,False,5,2,0.422062350119904
469,10,120,l2,40,False,15,2,0.422062350119904
575,20,960,l2,320,True,25,4,0.422062350119904
2,5,15,l1,5,False,5,1,0.422062350119904
204,5,15,l1,5,True,15,1,0.422062350119904
202,5,15,l1,5,True,5,1,0.422062350119904
486,15,180,l1,60,False,25,2,0.419664268585131
206,5,15,l1,5,True,25,1,0.417266187050359
573,20,960,l2,320,True,15,4,0.417266187050359
192,5,15,l1,5,False,1,1,0.417266187050359
195,5,15,l2,5,False,5,1,0.417266187050359
519,5,240,l2,80,False,25,4,0.417266187050359
551,15,720,l2,240,False,25,4,0.414868105515587
509,20,240,l2,80,True,15,2,0.414868105515587
563,20,960,l2,320,False,5,4,0.414868105515587
471,10,120,l2,40,False,25,2,0.41247002398081506
479,10,120,l2,40,True,25,2,0.41247002398081506
203,5,15,l2,5,True,5,1,0.41007194244604306
4,5,15,l1,5,False,15,1,0.41007194244604306
559,15,720,l2,240,True,25,4,0.40767386091127106
477,10,120,l2,40,True,15,2,0.40767386091127106
466,10,120,l1,40,False,5,2,0.40767386091127106
1,5,15,l2,5,False,1,1,0.40767386091127106
523,5,240,l2,80,True,5,4,0.40527577937649806
448,5,60,l1,20,False,1,2,0.40527577937649806
201,5,15,l2,5,True,1,1,0.40527577937649806
525,5,240,l2,80,True,15,4,0.40287769784172606
465,10,120,l2,40,False,1,2,0.40287769784172606
198,5,15,l1,5,False,25,1,0.40047961630695406
567,20,960,l2,320,False,25,4,0.40047961630695406
478,10,120,l1,40,True,25,2,0.40047961630695406
500,20,240,l1,80,False,15,2,0.40047961630695406
493,15,180,l2,60,True,15,2,0.40047961630695406
527,5,240,l2,80,True,25,4,0.39568345323741005
