,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
6,5,15,l1,5,False,15,1,0.259527255185721
3,5,15,l2,5,False,5,1,0.25759768451519505
4,5,15,l1,5,False,11,1,0.25711529184756304
1,5,15,l2,5,False,1,1,0.25566811384466903
0,5,15,l1,5,False,1,1,0.25566811384466903
7,5,15,l2,5,False,15,1,0.255185721177038
2,5,15,l1,5,False,5,1,0.253256150506512
8,5,15,l1,5,False,25,1,0.24794983116256603
11,5,15,l2,5,False,45,1,0.24457308248914603
9,5,15,l2,5,False,25,1,0.23637240713941102
10,5,15,l1,5,False,45,1,0.228171731789676
