,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
554,15,720,l1,240,True,5,4,0.305418719211822
532,10,480,l1,160,False,15,4,0.305418719211822
544,15,720,l1,240,False,1,4,0.305418719211822
30,10,30,l1,10,True,25,1,0.305418719211822
55,20,60,l2,20,False,25,1,0.305418719211822
25,10,30,l2,10,True,1,1,0.30295566502463
260,5,60,l1,20,False,15,2,0.30295566502463
550,15,720,l1,240,False,25,4,0.30295566502463
520,5,240,l1,80,True,1,4,0.30295566502463
516,5,240,l1,80,False,15,4,0.30295566502463
61,20,60,l2,20,True,15,1,0.30295566502463
27,10,30,l2,10,True,5,1,0.30295566502463
530,10,480,l1,160,False,5,4,0.30295566502463
221,10,30,l2,10,True,15,1,0.30295566502463
209,10,30,l2,10,False,1,1,0.30295566502463
218,10,30,l1,10,True,5,1,0.30295566502463
227,15,45,l2,15,False,5,1,0.300492610837438
215,10,30,l2,10,False,25,1,0.300492610837438
220,10,30,l1,10,True,15,1,0.300492610837438
522,5,240,l1,80,True,5,4,0.300492610837438
246,20,60,l1,20,False,25,1,0.300492610837438
223,10,30,l2,10,True,25,1,0.298029556650246
222,10,30,l1,10,True,25,1,0.298029556650246
502,20,240,l1,80,False,25,2,0.298029556650246
251,20,60,l2,20,True,5,1,0.298029556650246
212,10,30,l1,10,False,15,1,0.298029556650246
210,10,30,l1,10,False,5,1,0.298029556650246
208,10,30,l1,10,False,1,1,0.298029556650246
204,5,15,l1,5,True,15,1,0.298029556650246
536,10,480,l1,160,True,1,4,0.29556650246305405
200,5,15,l1,5,True,1,1,0.29556650246305405
236,15,45,l1,15,True,15,1,0.29556650246305405
500,20,240,l1,80,False,15,2,0.29310344827586204
203,5,15,l2,5,True,5,1,0.29310344827586204
198,5,15,l1,5,False,25,1,0.29310344827586204
245,20,60,l2,20,False,15,1,0.29310344827586204
243,20,60,l2,20,False,5,1,0.29310344827586204
572,20,960,l1,320,True,15,4,0.29310344827586204
258,5,60,l1,20,False,5,2,0.29064039408866904
543,10,480,l2,160,True,25,4,0.29064039408866904
2,5,15,l1,5,False,5,1,0.29064039408866904
504,20,240,l1,80,True,1,2,0.29064039408866904
206,5,15,l1,5,True,25,1,0.29064039408866904
207,5,15,l2,5,True,25,1,0.29064039408866904
256,5,60,l1,20,False,1,2,0.28817733990147704
211,10,30,l2,10,False,5,1,0.28817733990147704
202,5,15,l1,5,True,5,1,0.28817733990147704
574,20,960,l1,320,True,25,4,0.28817733990147704
524,5,240,l1,80,True,15,4,0.28571428571428503
4,5,15,l1,5,False,15,1,0.28571428571428503
513,5,240,l2,80,False,1,4,0.28571428571428503
1,5,15,l2,5,False,1,1,0.28571428571428503
533,10,480,l2,160,False,15,4,0.28571428571428503
205,5,15,l2,5,True,15,1,0.28571428571428503
538,10,480,l1,160,True,5,4,0.28571428571428503
540,10,480,l1,160,True,15,4,0.28571428571428503
565,20,960,l2,320,False,15,4,0.28325123152709303
517,5,240,l2,80,False,15,4,0.28325123152709303
262,5,60,l1,20,False,25,2,0.28325123152709303
3,5,15,l2,5,False,5,1,0.28325123152709303
498,20,240,l1,80,False,5,2,0.28325123152709303
569,20,960,l2,320,True,1,4,0.280788177339901
529,10,480,l2,160,False,1,4,0.280788177339901
518,5,240,l1,80,False,25,4,0.280788177339901
0,5,15,l1,5,False,1,1,0.280788177339901
257,5,60,l2,20,False,1,2,0.280788177339901
541,10,480,l2,160,True,15,4,0.278325123152709
535,10,480,l2,160,False,25,4,0.278325123152709
259,5,60,l2,20,False,5,2,0.278325123152709
484,15,180,l1,60,False,15,2,0.278325123152709
201,5,15,l2,5,True,1,1,0.278325123152709
199,5,15,l2,5,False,25,1,0.278325123152709
537,10,480,l2,160,True,1,4,0.278325123152709
562,20,960,l1,320,False,5,4,0.275862068965517
510,20,240,l1,80,True,25,2,0.275862068965517
553,15,720,l2,240,True,1,4,0.275862068965517
197,5,15,l2,5,False,15,1,0.275862068965517
526,5,240,l1,80,True,25,4,0.275862068965517
570,20,960,l1,320,True,5,4,0.275862068965517
6,5,15,l1,5,False,25,1,0.275862068965517
7,5,15,l2,5,False,25,1,0.273399014778325
559,15,720,l2,240,True,25,4,0.273399014778325
263,5,60,l2,20,False,25,2,0.270935960591133
480,15,180,l1,60,False,1,2,0.270935960591133
486,15,180,l1,60,False,25,2,0.26847290640394
561,20,960,l2,320,False,1,4,0.26847290640394
5,5,15,l2,5,False,15,1,0.26847290640394
506,20,240,l1,80,True,5,2,0.26847290640394
261,5,60,l2,20,False,15,2,0.26847290640394
519,5,240,l2,80,False,25,4,0.26847290640394
527,5,240,l2,80,True,25,4,0.266009852216748
523,5,240,l2,80,True,5,4,0.266009852216748
525,5,240,l2,80,True,15,4,0.263546798029556
466,10,120,l1,40,False,5,2,0.263546798029556
515,5,240,l2,80,False,5,4,0.263546798029556
508,20,240,l1,80,True,15,2,0.263546798029556
557,15,720,l2,240,True,15,4,0.263546798029556
521,5,240,l2,80,True,1,4,0.263546798029556
514,5,240,l1,80,False,5,4,0.26108374384236405
247,20,60,l2,20,False,25,1,0.26108374384236405
549,15,720,l2,240,False,15,4,0.25615763546798004
196,5,15,l1,5,False,15,1,0.25615763546798004
505,20,240,l2,80,True,1,2,0.25615763546798004
567,20,960,l2,320,False,25,4,0.25615763546798004
573,20,960,l2,320,True,15,4,0.25615763546798004
531,10,480,l2,160,False,5,4,0.25369458128078803
194,5,15,l1,5,False,5,1,0.25369458128078803
470,10,120,l1,40,False,25,2,0.25369458128078803
545,15,720,l2,240,False,1,4,0.25123152709359603
476,10,120,l1,40,True,15,2,0.25123152709359603
563,20,960,l2,320,False,5,4,0.25123152709359603
482,15,180,l1,60,False,5,2,0.25123152709359603
499,20,240,l2,80,False,5,2,0.25123152709359603
468,10,120,l1,40,False,15,2,0.24876847290640303
547,15,720,l2,240,False,5,4,0.24630541871921102
457,5,60,l2,20,True,1,2,0.24630541871921102
497,20,240,l2,80,False,1,2,0.24630541871921102
474,10,120,l1,40,True,5,2,0.24630541871921102
472,10,120,l1,40,True,1,2,0.24384236453201902
555,15,720,l2,240,True,5,4,0.24384236453201902
481,15,180,l2,60,False,1,2,0.241379310344827
501,20,240,l2,80,False,15,2,0.241379310344827
503,20,240,l2,80,False,25,2,0.241379310344827
488,15,180,l1,60,True,1,2,0.238916256157635
539,10,480,l2,160,True,5,4,0.238916256157635
464,10,120,l1,40,False,1,2,0.236453201970443
195,5,15,l2,5,False,5,1,0.236453201970443
477,10,120,l2,40,True,15,2,0.236453201970443
475,10,120,l2,40,True,5,2,0.236453201970443
575,20,960,l2,320,True,25,4,0.236453201970443
509,20,240,l2,80,True,15,2,0.236453201970443
511,20,240,l2,80,True,25,2,0.23399014778325103
479,10,120,l2,40,True,25,2,0.23399014778325103
192,5,15,l1,5,False,1,1,0.23399014778325103
490,15,180,l1,60,True,5,2,0.23399014778325103
571,20,960,l2,320,True,5,4,0.23399014778325103
452,5,60,l1,20,False,15,2,0.23152709359605902
